,accuracy,loss,val_accuracy,val_loss
0,0.7330357432365417,0.0,0.10595238208770752,0.0
1,0.743154764175415,0.0,0.4988095164299011,0.0
2,0.7467262148857117,0.0,0.18214285373687744,0.0
3,0.7520833611488342,0.0,0.8142856955528259,0.0
4,0.7538690567016602,0.0,0.44285714626312256,0.0
5,0.7622023820877075,0.0,0.40714284777641296,0.0
6,0.7607142925262451,0.0,0.38928571343421936,0.0
7,0.7639880776405334,0.0,0.16190476715564728,0.0
8,0.7788690328598022,0.0,0.22738094627857208,0.0
9,0.773809552192688,0.0,0.16904762387275696,0.0
10,0.7755952477455139,0.0,0.1964285671710968,0.0
